,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
52,53,381.4436671,396.6608949,689.2648992593955,88.55633289999997,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
53,54,381.4436671,396.6608949,769.7457212947027,88.55633290000075,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
54,55,383.1858216,396.6608949,848.1742275100383,86.81417840000017,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
55,56,421.0031304,587.1223702,401.8888097829709,0.0,421.00313040000015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,587.1223702
56,57,549.5079332,781.293796,769.9259695508752,390.49206680000094,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,21.045111540789208
57,58,524.1485906,781.293796,215.72763160106547,0.0,524.1485906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,781.293796
58,59,508.9603391,791.3176496,623.1173482781451,431.0396609000001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
59,60,495.7810111,791.3176496,99.43730412047066,0.0,495.7810111000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
60,61,476.4819936,791.3176496,538.1844417795653,463.51800640000056,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
61,62,482.171696,791.3176496,969.3515922300178,457.8283040000001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
62,63,495.1631036,791.3176496,444.59350315816306,0.0,495.1631036000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
63,64,515.3563626,779.3760622,844.7806894836003,424.64363740000107,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
64,65,518.6132248,779.3760622,296.02117039820564,0.0,518.6132248000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,779.3760622
65,66,518.6132248,779.3760622,693.8630674067556,421.3867752000011,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
66,67,526.7424659,714.0545666,999.9999175439257,326.70755032572663,2.6053801755465678e-05,0.9999999555473672,2.6048801755465675e-08,0.0,0.0,0.0,0.0,0.0,0.0,778.1523530369552,977.1309771309772,383.4499901735915,470.0,287.5374329488579,380.1243422296054,0.9999995409004663,1.0,46.39279142153674
67,68,391.8111945,585.2046364,583.6089265986498,0.0,391.8111945000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,585.2046364
68,69,389.7409138,585.2046364,656.754080425302,80.25917234724825,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1308032409383,0.0003428651451118284,469.9999163615149,0.0001697837333081141,380.124274578403,0.00012531722611353047,0.9999998221432408,4.5902685736397825e-07,205.08023650437093
69,70,389.7409138,585.2046364,729.5343396396634,80.25908620000064,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,205.0802941703946
70,71,357.0534765,396.6608949,832.9271677944424,112.94652350000015,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,0.0,16.5365526703946
71,72,357.0534765,396.6608949,935.8043220674728,112.94652350000004,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
72,73,360.5377905,396.6608949,552.5707191831366,0.0,360.5377905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
73,74,357.0534765,396.6608949,656.846157077094,112.94652350000246,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
74,75,364.022102,396.6608949,753.9978477657282,105.9778980000001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
75,76,353.569165,396.6608949,860.57049812475,116.43083500000003,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
