k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
89,516.1118787,779.3760622,118.94250017165356,0.0,46.11187869999998,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
90,536.2694503,714.0545666,69.93174234579737,0.0,66.26945029999996,333.9302243703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
91,404.2328834,585.2046364,0.0,65.76711660000538,0.0,205.08029417038898,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309893,0.0,470.0,0.0,380.12434222961105,0.0
92,418.7248531,585.2046364,62.32289270363979,51.27514690000004,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
93,414.5842893,585.2046364,110.60189357168107,55.415710700000034,0.0,205.0802941703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
94,372.7328846,396.6608949,162.56380125718658,97.2671154000056,0.0,16.536552670388744,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309898,0.0,470.0,0.0,380.1243422296113
95,367.506416,396.6608949,253.926169583023,102.4935840000046,0.0,16.53655267038971,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309877,0.0,470.0,0.0,380.1243422296103,0.0
96,372.7328846,396.6608949,349.7855808550672,97.26711540000002,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
97,365.764259,396.6608949,440.2140869442641,0.0,365.76425900000027,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,377.9593531,396.6608949,53.965827128585886,92.04064690000001,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
99,360.5377905,396.6608949,140.91712380471552,109.46220950000529,0.0,16.53655267038897,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309893,0.0,470.0,0.0,380.12434222961105,0.0
100,362.279945,396.6608949,243.9439027796676,107.72005500000347,0.0,16.536552670390904,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309851,0.0,470.0,0.0,380.1243422296091,0.0
101,346.6005395,396.6608949,344.80586631225594,123.3994605,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
102,353.569165,396.6608949,460.0230054047054,116.43083500000003,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
103,352.4361953,396.6608949,568.0617628247967,0.0,352.4361953,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,348.135434,396.6608949,195.17026568682655,121.86456600000366,0.0,16.53655267039079,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309853,0.0,470.0,0.0,380.1243422296092,0.0
105,312.5361524,396.6608949,309.67927508016413,0.0,0.0,184.98367208761343,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,615.1212294888307,0.0,312.53615240000056,0.0,211.6772228123866,0.0
106,300.9302561,396.6608949,308.13459485606427,169.06974390000002,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
107,267.7250826,396.6608949,466.81318090887925,0.0,267.7250826,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,183.37338003250574,216.48518570000002,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
109,249.9992176,396.6608949,387.6065701377946,0.0,249.9992176,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,123.17401008594732,182.6994721,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
111,308.5140356,396.6608949,295.6911188697616,161.48596440000003,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
