k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
89,516.1118787,779.3760622,1000.0,1000.0,897.7500000000001,312.6287474771024,0.0,0.0,0.0,0.0,0.0,1566.2661567882471,0.0,618.3618786999999,0.0,466.74731472289756
90,536.2694503,714.0545666,1000.0,1000.0,897.7500000000001,232.09206358733553,0.0,0.0,0.0,0.0,0.0,1617.3238356129684,0.0,638.5194502999999,0.0,481.9625030126645
91,404.2328834,585.2046364,1000.0,1000.0,897.7500000000001,202.9049929015199,0.0,0.0,0.0,0.0,0.0,1282.8847097264436,0.0,506.4828833999999,0.0,382.2996434984801
92,418.7248531,585.2046364,1000.0,1000.0,897.7500000000001,191.96627210466073,0.0,0.0,0.0,0.0,0.0,1319.5918264944273,0.0,520.9748530999999,0.0,393.2383642953393
93,414.5842893,585.2046364,1000.0,1000.0,897.7500000000001,195.09162168014205,0.0,0.0,0.0,0.0,1309.1040762411342,0.0,516.8342892999998,0.0,390.113014719858,0.0
94,372.7328846,396.6608949,1000.0,1000.0,897.7500000000001,38.13784624042563,0.0,0.0,0.0,0.0,0.0,1203.097478723404,0.0,474.9828845999999,0.0,358.5230486595744
95,367.506416,396.6608949,1000.0,1000.0,897.7500000000001,42.08285040151992,0.0,0.0,0.0,0.0,1189.8592097264434,0.0,469.75641599999983,0.0,354.5780444984801,0.0
96,372.7328846,396.6608949,1000.0,1000.0,897.7500000000001,38.13784624042563,0.0,0.0,0.0,0.0,0.0,1203.097478723404,0.0,474.9828845999999,0.0,358.5230486595744
97,365.764259,396.6608949,1000.0,1000.0,897.7500000000001,43.39785239240132,0.0,0.0,0.0,0.0,0.0,1185.446451367781,0.0,468.0142589999999,0.0,353.2630425075987
98,377.9593531,396.6608949,1000.0,1000.0,897.7500000000001,34.19284215481264,0.0,0.0,0.0,0.0,0.0,1216.3357474670718,0.0,480.20935309999993,0.0,362.4680527451874
99,360.5377905,396.6608949,1000.0,1000.0,897.7500000000001,47.34285647801431,0.0,0.0,0.0,0.0,0.0,1172.2081826241133,0.0,462.7877904999999,0.0,349.3180384219857
100,362.279945,396.6608949,1000.0,1000.0,897.7500000000001,46.02785637416429,0.0,0.0,0.0,0.0,1176.6209346504556,0.0,464.5299449999999,0.0,350.63303852583573,0.0
101,346.6005395,396.6608949,1000.0,1000.0,897.7500000000001,57.86286863100321,0.0,0.0,0.0,0.0,1136.9061284194527,0.0,448.85053949999985,0.0,338.7980262689968,0.0
102,353.569165,396.6608949,1000.0,1000.0,897.7500000000001,52.60286255450882,0.0,0.0,0.0,0.0,0.0,1154.5571555217825,0.0,455.81916499999977,0.0,344.0580323454912
103,352.4361953,396.6608949,1000.0,1000.0,897.7500000000001,53.458042317933234,0.0,0.0,0.0,0.0,0.0,1151.6874247720364,0.0,454.6861952999999,0.0,343.2028525820668
104,348.135434,396.6608949,1000.0,1000.0,897.7500000000001,56.70431097902747,0.0,0.0,0.0,0.0,1140.793905775076,0.0,450.3854339999999,0.0,339.95658392097255,0.0
105,312.5361524,396.6608949,1000.0,1000.0,897.7500000000001,83.57509597598795,0.0,0.0,0.0,0.0,1050.6234863221882,0.0,414.7861523999999,0.0,313.08579892401207,0.0
106,300.9302561,396.6608949,1000.0,1000.0,897.7500000000001,92.33537231185426,0.0,0.0,0.0,0.0,0.0,1021.2265858662611,0.0,403.18025609999984,0.0,304.32552258814576
107,267.7250826,396.6608949,1000.0,1000.0,897.7500000000001,117.39905443698092,0.0,0.0,0.0,0.0,937.1202700101313,0.0,369.97508259999984,0.0,279.2618404630191,0.0
108,253.5148143,396.6608949,1000.0,1000.0,897.7500000000001,128.1251434780142,0.0,0.0,0.0,0.0,901.1266826241135,0.0,355.7648143,0.0,268.5357514219858,0.0
109,249.9992176,396.6608949,1000.0,1000.0,897.7500000000001,130.77876003475183,0.0,0.0,0.0,0.0,0.0,892.2219290780141,0.0,352.24921759999995,0.0,265.8821348652482
110,287.3005279,396.6608949,1000.0,1000.0,897.7500000000001,102.6232623918948,0.0,0.0,0.0,0.0,0.0,986.7034647922994,0.0,389.5505278999998,0.0,294.0376325081052
111,308.5140356,396.6608949,1000.0,1000.0,897.7500000000001,86.61104026778133,0.0,0.0,0.0,0.0,0.0,1040.4357537993917,0.0,410.76403559999983,0.0,310.0498546322187
112,328.5745047,396.6608949,1000.0,1000.0,897.7500000000001,71.46914616494439,0.0,0.0,0.0,0.0,1091.2474789766968,0.0,430.8245046999999,0.0,325.1917487350556,0.0
113,332.0588187,396.6608949,1000.0,1000.0,897.7500000000001,68.83914218318142,0.0,0.0,0.0,0.0,1100.0729956940222,0.0,434.30881869999996,0.0,327.8217527168186,0.0
