k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
104,348.135434,396.6608949,293.55466688860884,121.86456600000014,0.0,16.536552670394485,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309776,0.0,470.0,0.0,380.12434222960553,0.0
105,312.5361524,396.6608949,407.57294801336735,0.0,100.53615239999992,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.61249999999977,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
106,300.9302561,396.6608949,299.97676903724846,0.0,88.93025609999995,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.61249999999993,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
107,267.7250826,396.6608949,205.10347019704952,0.0,55.72508259999996,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,145.56893153873676,0.0,41.514814299999955,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,101.25216659364523,0.0,37.999217599999895,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,60.84782437085934,182.69947210000007,0.0,16.5365526703946,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
111,308.5140356,396.6608949,233.6756541118241,0.0,202.5140356,396.6608949,-0.0,1.0,-0.0,0.0,0.0,114.6125,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
112,328.5745047,396.6608949,19.869567434488378,141.42549530000005,0.0,16.536552670394542,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309773,0.0,470.0,0.0,380.1243422296055
113,332.0588187,396.6608949,153.78936164732886,137.9411813,0.0,16.5365526703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
114,339.4851783,396.6608949,283.73939127091774,0.0,233.48517829999997,396.6608949,1.0,-0.0,0.0,0.0,114.6125,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,350.6940407,396.6608949,37.16377515909205,119.30595930000004,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309773,0.0,470.0,0.0,380.1243422296054,0.0
116,354.1783523,396.6608949,150.03620140189958,0.0,142.17835229999997,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
117,382.0528543,396.6608949,0.0,87.94714569999996,0.0,16.5365526703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
118,400.6073867,396.6608949,83.3412616333605,0.0,0.0,90.76937498089194,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,817.5971996204996,0.0,400.6073867,0.0,305.8915199191081,0.0
119,414.5446376,396.6608949,82.92559535685601,55.45536240000001,0.0,16.5365526703946,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
120,404.0916982,396.6608949,135.06310925554965,0.0,0.0,87.04202902642112,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,825.6076397694395,0.0,404.0916981999999,0.0,309.6188658735789
121,423.2554178,396.6608949,134.38947918783657,46.74458220000002,0.0,16.5365526703946,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
122,444.1612943,396.6608949,178.01572837095836,25.838705700006713,0.0,16.5365526703946,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
123,426.7397318,396.6608949,201.61337686113728,43.26026819999984,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
124,412.8024807,396.6608949,241.6025086267609,57.19751930000001,0.0,16.5365526703946,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
125,430.2240433,396.6608949,294.59953643866874,39.77595670000677,0.0,16.536552670389128,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
126,451.1299199,396.6608949,330.8230633385825,18.87008010000671,0.0,16.5365526703892,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
