k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
107,267.7250826,396.6608949,484.83372877465183,0.0,267.7250826000002,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,201.30404140552372,216.48518570000434,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
109,249.9992176,396.6608949,405.447793371888,0.0,249.9992176000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,140.92624129854875,182.6994721000072,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
111,308.5140356,396.6608949,313.3548019530815,161.48596440000622,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
112,328.5745047,396.6608949,464.82073264531743,0.0,328.57450470000026,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,332.0588187,396.6608949,117.49897689588232,137.9411813000051,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
114,339.4851783,396.6608949,247.6300936344495,130.51482170000006,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
115,350.6940407,396.6608949,370.074675214972,0.0,350.6940407000002,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,354.1783523,396.6608949,0.0,0.0,0.0,140.4368841978012,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,710.8567427944427,0.0,354.1783522999999,0.0,256.2240107021988
117,382.0528543,396.6608949,0.0,0.0,0.0,110.61810586452282,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,774.940286975987,0.0,382.0528543,0.0,286.0427890354772
118,400.6073867,396.6608949,0.0,0.0,0.0,90.76937498089194,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,817.5971996204996,0.0,400.6073867,0.0,305.8915199191081,0.0
119,414.5446376,396.6608949,0.0,0.0,0.0,75.85998592122792,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,849.6389714813714,0.0,414.5446376,0.0,320.8009089787721,0.0
120,404.0916982,396.6608949,0.0,0.0,0.0,87.042029026421,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,825.6076397694396,0.0,404.09169819999994,0.0,309.618865873579
121,423.2554178,396.6608949,0.0,0.0,0.0,66.54161948391146,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,869.6650751872751,0.0,423.2554177999999,0.0,330.11927541608856,0.0
