k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
51,384.9279786,396.6608949,0.0,0.0,0.0,107.54243856893049,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,781.5502043516044,384.9279786,289.1184563310695,0.0,0.0,0.0,0.0,0.0
52,381.4436671,396.6608949,0.0,0.0,0.0,111.26978452340143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,773.5397642026643,381.4436671,285.3911103765986,0.0,0.0,0.0,0.0,0.0
53,381.4436671,396.6608949,0.0,0.0,0.0,111.26978452340143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,773.5397642026643,381.4436671,285.3911103765986,0.0,0.0,0.0,0.0,0.0
54,383.1858216,396.6608949,0.0,0.0,0.0,109.40611288335481,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,777.5449814033814,383.1858216,287.2547820166452,0.0,0.0,0.0,0.0,0.0
55,421.0031304,587.1223702,0.0,0.0,0.0,259.4124816394483,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,864.4870612766613,421.0031304,327.7098885605517,0.0,0.0,0.0,0.0,0.0
56,549.5079332,781.293796,0.0,0.0,0.0,429.5093705696114,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,916.2256546524548,443.5079332,351.78442543038864,0.0,0.0,0.0,0.0,0.0
57,524.1485906,781.293796,0.0,0.0,0.0,456.6375544441453,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,857.9244677138678,418.14859060000003,324.65624155585476,0.0,0.0,0.0,0.0,0.0
58,508.9603391,791.3176496,0.0,0.0,0.0,482.90905633391856,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,823.0066425975426,402.9603391,308.4085932660814,0.0,0.0,0.0,0.0,0.0
59,495.7810111,791.3176496,0.0,0.0,0.0,497.00765656051874,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,792.7073372262372,389.7810111,294.30999303948124,0.0,0.0,0.0,0.0,0.0
60,476.4819936,791.3176496,0.0,0.0,0.0,517.6528011762883,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,748.3388516252517,370.4819936,273.66484842371165,0.0,0.0,0.0,0.0,0.0
61,482.171696,791.3176496,0.0,0.0,0.0,511.5662359473232,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,761.4194905234906,376.171696,279.7514136526768,0.0,0.0,0.0,0.0,0.0
62,495.1631036,791.3176496,0.0,0.0,0.0,497.66866376965095,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,791.2867664631665,389.1631036,293.64898583034903,0.0,0.0,0.0,0.0,0.0
63,515.3563626,779.3760622,0.0,0.0,0.0,464.12531595264056,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,837.7111153285153,409.3563626,315.2507462473594,0.0,0.0,0.0,0.0,0.0
64,518.6132248,779.3760622,0.0,0.0,0.0,460.64128413015874,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,845.198649013849,412.6132248,318.73477806984124,0.0,0.0,0.0,0.0,0.0
65,518.6132248,779.3760622,0.0,0.0,0.0,460.64128413015874,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,845.198649013849,412.6132248,318.73477806984124,0.0,0.0,0.0,0.0,0.0
66,526.7424659,714.0545666,0.0,0.0,0.0,386.62352416716953,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,863.8877929918929,420.74246589999996,327.4310424328305,0.0,0.0,0.0,0.0,0.0
67,391.8111945,585.2046364,0.0,0.0,0.0,288.72285249657796,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,797.3747335302336,391.8111945,296.48178390342207,0.0,0.0,0.0,0.0,0.0
68,389.7409138,585.2046364,0.0,0.0,0.0,290.93753749008795,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,792.6151534413534,389.7409138,294.2670989099121,0.0,0.0,0.0,0.0,0.0
69,389.7409138,585.2046364,0.0,0.0,0.0,290.93753749008795,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,792.6151534413534,389.7409138,294.2670989099121,0.0,0.0,0.0,0.0,0.0
