k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
39,505.3895853,779.3760622,0.0,0.0,0.0,370.6295011747754,0.0,0.0,0.07529699000000004,1.0,0.0,1.0,0.0,0.0,73.57502141372146,35.38958530000002,28.62221879561919,0.0,0.0,977.1309771309772,470.0,380.1243422296054
40,516.1118787,779.3760622,0.0,0.0,0.0,361.9575762261204,0.0,0.0,1.0,0.09811038021276601,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,95.86669168399175,46.111878700000034,37.29414374427417
41,528.6186163,779.3760622,0.0,0.0,0.0,351.84243706944324,0.0,0.0,0.12472046021276591,1.0,0.0,1.0,0.0,0.0,121.86822515592513,58.618616299999985,47.40928290095131,0.0,0.0,977.1309771309772,470.0,380.1243422296054
42,531.5059581,714.0545666,0.0,0.0,0.0,284.1857310385559,0.0,0.0,0.13086374063829795,1.0,0.0,1.0,0.0,0.0,127.87101476091486,61.50595810000004,49.7444933318387,0.0,0.0,977.1309771309772,470.0,380.1243422296054
43,402.1626028,585.2046364,0.0,0.0,0.0,259.9454984027744,0.0,0.0,0.8556651123404254,0.0,0.0,1.0,0.0,0.0,836.0968873180873,402.1626028,325.25913799722565,0.0,0.0,0.0,0.0,0.0
44,402.1626028,585.2046364,0.0,0.0,0.0,259.9454984027744,0.0,0.0,0.0,0.8556651123404254,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0968873180873,402.1626028,325.25913799722565
45,398.0220389,585.2046364,0.0,0.0,0.0,263.294283783513,0.0,0.0,0.8468554019148935,0.0,0.0,1.0,0.0,0.0,827.4886463617463,398.0220389,321.91035261648705,0.0,0.0,0.0,0.0,0.0
46,370.9907276,396.6608949,0.0,0.0,0.0,96.61279638461122,0.0,0.0,0.0,0.7893419736170213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.2904939708941,370.9907276,300.0480985153888
47,377.9593531,396.6608949,0.0,0.0,0.0,90.97674492837308,0.0,0.0,0.0,0.8041688363829786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.7782808731808,377.9593531,305.68414997162694
48,381.4436671,396.6608949,0.0,0.0,0.0,88.15871818928497,0.0,0.0,0.0,0.8115822704255319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.022176923077,381.4436671,308.50217671071505
49,386.6701356,396.6608949,0.0,0.0,0.0,83.93168010259086,0.0,0.0,0.0,0.8227024161702126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8880158004157,386.6701356,312.72921479740916
50,384.9279786,396.6608949,0.0,0.0,0.0,85.34069347213489,0.0,0.0,0.0,0.8189956991489361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.2660677754678,384.9279786,311.32020142786513
51,384.9279786,396.6608949,0.0,0.0,0.0,85.34069347213489,0.0,0.0,0.8189956991489361,0.0,0.0,1.0,0.0,0.0,800.2660677754678,384.9279786,311.32020142786513,0.0,0.0,0.0,0.0,0.0
52,381.4436671,396.6608949,0.0,0.0,0.0,88.15871818928497,0.0,0.0,0.8115822704255319,0.0,0.0,1.0,0.0,0.0,793.022176923077,381.4436671,308.50217671071505,0.0,0.0,0.0,0.0,0.0
53,381.4436671,396.6608949,0.0,0.0,0.0,88.15871818928497,0.0,0.0,0.8115822704255319,0.0,0.0,1.0,0.0,0.0,793.022176923077,381.4436671,308.50217671071505,0.0,0.0,0.0,0.0,0.0
54,383.1858216,396.6608949,0.0,0.0,0.0,86.74970684167891,0.0,0.0,0.0,0.8152889821276594,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.6441197505197,383.1858216,309.9111880583211
