k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
115,350.6940407,396.6608949,0.0,0.0,0.0,141.81812638434158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.7716609540232,350.6940407,254.84276851565843
116,354.1783523,396.6608949,0.0,0.0,0.0,139.28614262795145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.7739016214488,354.1783523,257.37475227204857
117,382.0528543,396.6608949,0.0,0.0,0.0,119.03026589136323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.7918454496179,382.0528543,277.6306290086368
118,400.6073867,396.6608949,0.0,0.0,0.0,105.54703590578595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0799287933543,400.6073867,291.11385899421407
119,414.5446376,396.6608949,0.0,0.0,0.0,95.41909761015995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0889005064739,414.5446376,301.24179728984006
120,404.0916982,396.6608949,0.0,0.0,0.0,103.01505222206396,0.0,0.0,812.082169259815,404.0916982,293.64584267793606,0.0,0.0,0.0,0.0,0.0
121,423.2554178,396.6608949,0.0,0.0,0.0,89.0891373471672,0.0,0.0,850.5945045866159,423.2554178,307.5717575528328,0.0,0.0,0.0,0.0,0.0
122,444.1612943,396.6608949,0.0,0.0,0.0,73.897229794726,0.0,0.0,892.6079624577428,444.1612943,322.763665105274,0.0,0.0,0.0,0.0,0.0
123,426.7397318,396.6608949,0.0,0.0,0.0,86.5571518467421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.5967500771974,426.7397318,310.1037430532579
124,412.8024807,396.6608949,0.0,0.0,0.0,96.68509028770438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.587777962148,412.8024807,299.97580461229563
125,430.2240433,396.6608949,0.0,0.0,0.0,84.02516816302011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.5989905436583,430.2240433,312.6357267369799
126,451.1299199,396.6608949,0.0,0.0,0.0,68.8332605379108,0.0,0.0,906.6124486157498,451.1299199,327.8276343620892,0.0,0.0,0.0,0.0,0.0
127,446.512641,396.6608949,0.0,0.0,0.0,72.18855033849093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.3333422102187,446.512641,324.4723445615091
128,436.8855768,396.6608949,0.0,0.0,0.0,79.18435696385848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.9863296040105,436.8855768,317.47653793614154
