k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
54,383.1858216,396.6608949,0.0,232.74322764632672,0.0,87.21602291860688,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,825.2337094510145,0.0,403.9290492463267,0.0,309.44487198139313
55,421.0031304,587.1223702,220.554221223183,0.0,209.00313039999995,587.1223702,1.0,1.0,0.0,-0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
56,549.5079332,781.293796,0.0,0.0,0.0,542.9029839632248,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,672.531410958211,0.0,337.5079332,0.0,238.39081203677526
57,524.1485906,781.293796,0.0,0.0,0.0,570.0311678377586,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,614.2302240196242,0.0,312.14859060000003,0.0,211.26262816224136,0.0
58,508.9603391,791.3176496,0.0,0.0,0.0,596.3026697275319,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,579.3123989032989,0.0,296.9603391,0.0,195.01497987246805,0.0
59,495.7810111,791.3176496,0.0,8.491340285589331,0.0,601.3176496,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.5347043701743,0.0,292.27235138558933,0.0,190.0,0.0
60,476.4819936,791.3176496,8.046639907714427,27.790357785591382,0.0,601.3176496,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,568.5347043701706,0.0,292.272351385587,0.0,190.0
61,482.171696,791.3176496,34.34145478644484,22.100655385587086,0.0,601.3176496,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.534704370169,0.0,292.27235138558706,0.0,190.0,0.0
62,495.1631036,791.3176496,55.11339699842881,9.109247785587653,0.0,601.3176496,1.0,1.0,-0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,568.5347043701702,0.0,292.2723513855875,0.0,190.0
63,515.3563626,779.3760622,63.47070472936696,0.0,0.0,577.518929346254,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,594.0168716342715,0.0,303.35636259999995,0.0,201.857132853746
64,518.6132248,779.3760622,63.15414326887412,48.24377564854581,0.0,522.4260669149096,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,712.4169564481633,0.0,354.8570004485458,0.0,256.9499952850904,0.0
65,518.6132248,779.3760622,108.5563592906831,163.38677520000002,0.0,399.25171997039456,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
66,526.7424659,714.0545666,262.8449709705564,155.25753410000013,0.0,333.93022437039474,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,977.1309771309769,0.0,470.0,0.0,380.1243422296053,0.0
67,391.8111945,585.2046364,408.66056075389326,0.0,179.81119449999997,585.2046364,1.0,1.0,-0.0,-0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
68,389.7409138,585.2046364,217.81981581823527,0.0,177.7409138,585.2046364,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
69,389.7409138,585.2046364,30.10469687266744,292.25908620000007,0.0,205.0802941703946,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
70,357.0534765,396.6608949,306.9077210451462,0.0,145.0534765,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,153.07022667050356,0.0,145.0534765,396.6608949,1.0,1.0,0.0,-0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,306.55117616171873,114.6125,254.53779050000003,106.0,0.0,0.0,0.0,0.0,0.0,0.0
73,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,302.04878916484614,114.61249999999752,251.0534765000019,106.0,0.0,0.0,0.0,0.0,0.0,0.0
74,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,311.05355992812497,114.6125,258.022102,106.0,0.0,0.0,0.0,0.0,0.0,0.0
75,353.569165,396.6608949,0.0,328.430835,0.0,16.5365526703946,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
76,358.7956335,396.6608949,311.23056843217216,0.0,146.7956335,396.6608949,1.0,1.0,0.0,-0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
77,365.764259,396.6608949,155.54224128474206,0.0,147.39602424134463,396.6608949,1.0,1.0,0.0,0.0,122.84145335219993,114.6125,112.36823475865535,106.0,0.0,0.0,0.0,0.0,0.0,0.0
78,381.4436671,396.6608949,0.0,221.20594771568787,0.0,101.42171210647211,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,794.7042591655253,0.0,390.64961481568776,0.0,295.2391827935279
79,410.6426673,587.1223702,209.6211607175401,0.0,198.64266730000003,587.1223702,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
80,541.2815198,781.293796,0.0,0.0,0.0,551.7031984980896,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,653.618867639067,0.0,329.2815197999997,0.0,229.5905975019104,0.0
81,510.2371802,781.293796,0.0,0.0,0.0,584.9129139949049,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,582.2478595276594,0.0,298.23718019999995,0.0,196.38088200509515
