k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
49,386.6701356,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,340.31906584562495,114.6125,280.6701356,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
50,384.9279786,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,338.06787234718746,114.6125,278.9279786,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
51,384.9279786,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,338.06787234718746,114.6125,278.9279786,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
52,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,333.5654885807812,114.6125,275.4436671,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
53,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,333.5654885807812,114.6125,275.4436671,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
54,383.1858216,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,335.81667884875,114.6125,277.1858216,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
55,421.0031304,587.1223702,0.0,0.0,0.0,587.1223702,1.0,1.0,0.0,0.0,0.0,1.0,384.6837325637499,114.6125,315.0031304,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
56,549.5079332,781.293796,0.0,0.0,0.0,781.293796,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,550.736032431875,106.00000000000001,443.5079332,0.0,0.0,0.0,0.0,0.0,0.0
57,524.1485906,781.293796,0.0,0.0,0.0,781.293796,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,517.9670069159374,106.00000000000001,418.14859060000003,0.0,0.0,0.0,0.0,0.0,0.0
58,508.9603391,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,498.34093818078117,106.00000000000001,402.9603391,0.0,0.0,0.0,0.0,0.0,0.0
59,495.7810111,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,481.3107752807812,106.00000000000001,389.7810111,0.0,0.0,0.0,0.0,0.0,0.0
60,476.4819936,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,456.37282610499994,106.00000000000001,370.4819936,0.0,0.0,0.0,0.0,0.0,0.0
61,482.171696,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,463.72498842499994,106.00000000000001,376.171696,0.0,0.0,0.0,0.0,0.0,0.0
62,495.1631036,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,480.51232293312495,106.00000000000001,389.1631036,0.0,0.0,0.0,0.0,0.0,0.0
63,515.3563626,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,506.60579979718744,106.00000000000001,409.3563626,0.0,0.0,0.0,0.0,0.0,0.0
64,518.6132248,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,510.81427642124993,106.00000000000001,412.6132248,0.0,0.0,0.0,0.0,0.0,0.0
65,518.6132248,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,510.81427642124993,106.00000000000001,412.6132248,0.0,0.0,0.0,0.0,0.0,0.0
