k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
114,339.4851783,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,279.34725383453116,114.6125,233.48517829999997,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
115,350.6940407,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,293.83120571703125,114.6125,244.69404070000002,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
116,354.1783523,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,298.33358961265617,106.00000000000001,248.17835229999997,0.0,0.0,0.0,0.0,0.0,0.0
117,382.0528543,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,334.3526726657812,114.6125,276.0528543,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
118,400.6073867,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,358.3286075014062,114.6125,294.6073867,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
119,414.5446376,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,376.3381488987499,114.6125,308.5446376,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
120,404.0916982,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,362.83099126781246,106.00000000000001,298.0916982,0.0,0.0,0.0,0.0,0.0,0.0
121,423.2554178,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,387.5941101884374,106.00000000000001,317.2554178,0.0,0.0,0.0,0.0,0.0,0.0
122,444.1612943,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,414.6084224782812,106.00000000000001,338.1612943,0.0,0.0,0.0,0.0,0.0,0.0
123,426.7397318,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,392.09649718531244,106.00000000000001,320.7397318,0.0,0.0,0.0,0.0,0.0,0.0
124,412.8024807,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,374.08695552953117,106.00000000000001,306.8024807,0.0,0.0,0.0,0.0,0.0,0.0
125,430.2240433,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,396.5988809517187,106.00000000000001,324.2240433,0.0,0.0,0.0,0.0,0.0,0.0
126,451.1299199,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,423.6131933707812,114.6125,345.1299199,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
127,446.512641,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,417.6468032921874,106.00000000000001,340.512641,0.0,0.0,0.0,0.0,0.0,0.0
128,436.8855768,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,405.20683127125,106.00000000000001,330.8855768,0.0,0.0,0.0,0.0,0.0,0.0
129,401.3612252,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,359.30270818812494,106.00000000000001,295.3612252,0.0,0.0,0.0,0.0,0.0,0.0
